countryName,reportingYear,pollutant,emissions
Belgium,2010,Cadmium and compounds (as Cd),293.5
Belgium,2010,Chlorides (as total Cl),545280000
Belgium,2010,Chromium and compounds (as Cr),4706.4
Belgium,2010,Copper and compounds (as Cu),4449.2
Belgium,2010,Cyanides (as total CN),9794.7
Belgium,2010,Di-(2-ethyl hexyl) phthalate (DEHP),32.38
Belgium,2010,Dichloromethane (DCM),1307
Belgium,2010,Diuron,23.02
Belgium,2010,Fluorides (as total F),1243660
Belgium,2010,Halogenated organic compounds (as AOX),39520
Belgium,2010,Hexachlorobutadiene (HCBD),2.35
Belgium,2010,Lead and compounds (as Pb),5147.5
Belgium,2010,Mercury and compounds (as Hg),29.19
Belgium,2010,Nickel and compounds (as Ni),3908
Belgium,2010,Nonylphenol and Nonylphenol ethoxylates,42.61
Belgium,2010,Octylphenols and Octylphenol ethoxylates,53.8
Belgium,2010,Organotin compounds (as total Sn),63.6
Belgium,2010,Pentachlorophenol (PCP),5.49
Belgium,2010,Phenols (as total C),2841.6
Belgium,2010,Polychlorinated biphenyls (PCBs),0.746
Belgium,2010,Polycyclic aromatic hydrocarbons (PAHs),52.2
Belgium,2010,Simazine,5.39
Belgium,2010,Tetrachloroethylene,81.4
Belgium,2010,Tetrachloromethane (TCM),10.5
Belgium,2010,Toluene,312
Belgium,2010,Total nitrogen,4596300
Belgium,2010,Total organic carbon(as total C or COD/3) (TOC),10539300
Belgium,2010,Total phosphorus,592520
Belgium,2010,Trichloroethylene (TRI),11.4
Belgium,2010,Trichloromethane,1780.7
Belgium,2010,Vinyl chloride,40.6
Belgium,2010,Zinc and compounds (as Zn),74354
Belgium,2011,"1,2-dichloroethane (DCE-1,2)",47.7
Belgium,2011,Arsenic and compounds (as As),837.98
Belgium,2011,"Benzo(g,h,i)perylene",13.78
Belgium,2011,Cadmium and compounds (as Cd),299.13
Belgium,2011,Chlorides (as total Cl),547750000
Belgium,2011,Chlorpyrifos,1.22
Belgium,2011,Chromium and compounds (as Cr),2931.3
